Year,Province,Regency/City,Plastic per day (ton),Plastic per year (ton)
2022,Jawa Tengah,Kab. Banyumas,161.06699999999998,58789.346999999994
2022,Jawa Tengah,Kab. Purbalingga,94.28420799999999,34413.73591999999
2022,Jawa Tengah,Kab. Kebumen,55.566,20281.608
2022,Jawa Tengah,Kab. Purworejo,43.4355,15854.133
2022,Jawa Tengah,Kab. Wonosobo,37.027875,13515.306815999998
2022,Jawa Tengah,Kab. Boyolali,55.124611400000006,20120.58491212
2022,Jawa Tengah,Kab. Klaten,96.77450999999999,35322.86772
2022,Jawa Tengah,Kab. Sukoharjo,61.634976,22496.815627
2022,Jawa Tengah,Kab. Wonogiri,86.93,31729.4625
2022,Jawa Tengah,Kab. Karanganyar,75.104,27413.194000000003
2022,Jawa Tengah,Kab. Sragen,66.10015999999999,24126.74656
2022,Jawa Tengah,Kab. Grobogan,160.04509036000002,58416.778309
2022,Jawa Tengah,Kab. Blora,145.559,53128.465000000004
2022,Jawa Tengah,Kab. Rembang,86.85878500000001,31702.957000000002
2022,Jawa Tengah,Kab. Kudus,81.968464,29918.589955
2022,Jawa Tengah,Kab. Jepara,96.329632,35160.635712
2022,Jawa Tengah,Kab. Demak,158.9214,58006.5992
2022,Jawa Tengah,Kab. Semarang,99.85176575999999,36446.032054840005
2022,Jawa Tengah,Kab. Temanggung,69.784416,25471.184527999998
2022,Jawa Tengah,Kab. Kendal,21.566526,7871.743592000001
2022,Jawa Tengah,Kab. Batang,90.7648,33128.865600000005
2022,Jawa Tengah,Kab. Pemalang,111.86593504,40831.31313028
2022,Jawa Tengah,Kab. Tegal,117.54820000000001,42905.2722
2022,Jawa Tengah,Kab. Brebes,251.3275,91734.4
2022,Jawa Tengah,Kota Magelang,17.30965,6317.6933
2022,Jawa Tengah,Kota Surakarta,85.53071700000001,31218.620785000003
2022,Jawa Tengah,Kota Salatiga,6.324464,2308.422712
2022,Jawa Tengah,Kota Semarang,203.14231999999998,74146.65783999999
2022,Jawa Tengah,Kota Tegal,40.971784320000005,14954.77099516
2019,Jawa Timur,Kab. Pacitan,48.990759999999995,17881.52592
2019,Jawa Timur,Kab. Trenggalek,46.76825026923076,17070.52255253846
2019,Jawa Timur,Kab. Tulungagung,23.37795,8532.9846
2019,Jawa Timur,Kab. Blitar,41.56100000000001,15169.714000000002
2019,Jawa Timur,Kab. Kediri,77.0721753076923,28131.49479857692
2019,Jawa Timur,Kab. Malang,158.03996800000002,57684.67624800001
2019,Jawa Timur,Kab. Lumajang,89.06230000000001,32507.963780000005
2019,Jawa Timur,Kab. Banyuwangi,265.90067200000004,97053.94329600001
2019,Jawa Timur,Kab. Bondowoso,72.29475000000001,26387.573630000003
2019,Jawa Timur,Kab. Situbondo,30.7344,11217.913199999999
2019,Jawa Timur,Kab. Probolinggo,78.77427999999999,28752.563189999997
2019,Jawa Timur,Kab. Pasuruan,175.49861699999997,64056.8398236923
2019,Jawa Timur,Kab. Sidoarjo,134.63230000000001,49140.7015
2019,Jawa Timur,Kab. Nganjuk,64.26083415384615,23455.449724884613
2019,Jawa Timur,Kab. Madiun,53.822097,19645.209288
2019,Jawa Timur,Kab. Ngawi,73.084,26675.748
2019,Jawa Timur,Kab. Bojonegoro,178.059,64990.9225
2019,Jawa Timur,Kab. Tuban,54.099384,19746.155042
2019,Jawa Timur,Kab. Gresik,53.55075000000001,19545.78285
2019,Jawa Timur,Kab. Sampang,30.17916,11015.3934
2019,Jawa Timur,Kab. Pamekasan,41.028281961538454,14975.261982115384
2019,Jawa Timur,Kab. Sumenep,62.42265999999999,22784.442466999997
2019,Jawa Timur,Kota Kediri,35.395199999999996,12918.811199999998
2019,Jawa Timur,Kota Blitar,6.45554,2356.20567
2019,Jawa Timur,Kota Malang,46.932900000000004,17130.416800000003
2019,Jawa Timur,Kota Probolinggo,16.84032,6147.004989999999
2019,Jawa Timur,Kota Pasuruan,11.552640000000002,4216.5833600000005
2019,Jawa Timur,Kota Mojokerto,8.706185,3177.9296849999996
2019,Jawa Timur,Kota Madiun,4.6708,1704.8896
2019,Jawa Timur,Kota Surabaya,432.39808800000003,157825.63065600002
2019,Jawa Timur,Kota Batu,9.3056,3396.5752
2020,Jawa Timur,Kab. Pacitan,48.5826,17732.3668
2020,Jawa Timur,Kab. Ponorogo,50.83526761111111,18554.872678055555
2020,Jawa Timur,Kab. Trenggalek,87.029,31765.628499999995
2020,Jawa Timur,Kab. Blitar,31.692749999999997,11567.82525
2020,Jawa Timur,Kab. Lumajang,91.26571999999999,33312.073339999995
2020,Jawa Timur,Kab. Bondowoso,72.65654,26519.25507
2020,Jawa Timur,Kab. Situbondo,37.76425688888889,13783.860576888886
2020,Jawa Timur,Kab. Probolinggo,77.47805,28279.63697
2020,Jawa Timur,Kab. Sidoarjo,119.4864,43612.459
2020,Jawa Timur,Kab. Jombang,76.766161,28019.90357472222
2020,Jawa Timur,Kab. Nganjuk,27.110454,9895.343914000001
2020,Jawa Timur,Kab. Magetan,40.667631666666665,14843.685558333333
2020,Jawa Timur,Kab. Ngawi,112.15512,40936.34952
2020,Jawa Timur,Kab. Tuban,54.342926,19835.017015999998
2020,Jawa Timur,Kab. Gresik,52.448,19143.7392
2020,Jawa Timur,Kab. Pamekasan,39.63237616666666,14465.929417111109
2020,Jawa Timur,Kab. Sumenep,47.948840000000004,17501.554614
2020,Jawa Timur,Kota Kediri,21.9762465,8021.56876561111
2020,Jawa Timur,Kota Blitar,6.785869999999999,2476.99179
2020,Jawa Timur,Kota Malang,98.68853344444443,36021.24044838889
2020,Jawa Timur,Kota Probolinggo,17.59885,6423.714424000001
2020,Jawa Timur,Kota Pasuruan,8.034953999999999,2932.720638
2020,Jawa Timur,Kota Mojokerto,1.9554,713.7102
2020,Jawa Timur,Kota Madiun,4.7268,1725.342
2020,Jawa Timur,Kota Surabaya,432.077328,157707.99144
2021,Jawa Timur,Kab. Pacitan,48.7441,17791.3211
2021,Jawa Timur,Kab. Ponorogo,84.885042,30983.232962
2021,Jawa Timur,Kab. Trenggalek,42.559528799999995,15533.974647
2021,Jawa Timur,Kab. Blitar,30.74475,11221.78725
2021,Jawa Timur,Kab. Kediri,60.37504200000001,22037.055456000002
2021,Jawa Timur,Kab. Lumajang,89.26700000000001,32582.714880000003
2021,Jawa Timur,Kab. Banyuwangi,272.875086,99599.334516
2021,Jawa Timur,Kab. Situbondo,37.2330726,13589.860120199999
2021,Jawa Timur,Kab. Jombang,66.29625,24197.93
2021,Jawa Timur,Kab. Nganjuk,54.59601000000001,19927.687560000002
2021,Jawa Timur,Kab. Magetan,53.664,19587.710000000003
2021,Jawa Timur,Kab. Ngawi,109.15632000000001,39842.43318
2021,Jawa Timur,Kab. Bojonegoro,77.67447,28351.371211799997
2021,Jawa Timur,Kab. Tuban,55.449334,20238.807447999996
2021,Jawa Timur,Kab. Lamongan,39.9492,14581.458
2021,Jawa Timur,Kab. Pamekasan,35.958000000000006,13124.442500000001
2021,Jawa Timur,Kab. Sumenep,63.67735199999999,23242.408512999995
2021,Jawa Timur,Kota Kediri,24.555749999999996,8962.758849999998
2021,Jawa Timur,Kota Blitar,6.842289999999999,2497.2702299999996
2021,Jawa Timur,Kota Malang,98.1289884,35816.9750766
2021,Jawa Timur,Kota Probolinggo,19.188459,7003.729912000001
2021,Jawa Timur,Kota Pasuruan,8.193119999999999,2990.5748519999997
2021,Jawa Timur,Kota Madiun,4.7884,1747.81
