Regency/City,Year,Land Area (km2),Population,GDP,Gini,HDI
JEMBRANA,2017,849.13,274900.0,12116480.97,0.317,70.72
TABANAN,2017,849.31,441000.0,20376580.82,0.311,74.86
BADUNG,2017,398.75,643500.0,52343653.65,0.319,80.54
GIANYAR,2017,364.36,503900.0,24224219.01,0.268,76.09
KLUNGKUNG,2017,313.96,177400.0,7784619.12,0.371,70.13
BANGLI,2017,526.76,225100.0,5976573.29,0.301,68.24
KARANGASEM,2017,839.32,412800.0,14598384.61,0.323,65.57
BULELENG,2017,1322.75,653600.0,30318755.13,0.309,71.11
KOTA DENPASAR,2017,125.87,914300.0,46835754.88,0.341,83.01
LOMBOK BARAT,2017,923.06,675222.0,13942828.32,0.371,66.37
LOMBOK TENGAH,2017,1095.03,930797.0,15779244.25,0.371,64.36
LOMBOK TIMUR,2017,1230.76,1183204.0,17549454.41,0.371,64.37
SUMBAWA,2017,6643.98,449680.0,12648920.99,0.371,65.84
DOMPU,2017,2391.54,245387.0,6144742.11,0.371,66.33
BIMA,2017,3405.63,478967.0,10030687.02,0.371,65.01
SUMBAWA BARAT,2017,1849.02,140890.0,23938406.18,0.371,70.08
LOMBOK UTARA,2017,776.25,216515.0,4353683.2,0.371,63.04
KOTA MATARAM,2017,61.3,468509.0,16521355.94,0.371,77.84
KOTA BIMA,2017,222.25,166407.0,3632894.65,0.371,74.36
SUMBA BARAT,2017,737.42,125776.0,1988825.4,0.359,62.3
SUMBA TIMUR,2017,7000.5,252704.0,5370176.55,0.359,64.19
KUPANG,2017,5434.76,372777.0,6530311.3,0.359,62.79
TIMOR TENGAH SELATAN,2017,3947.0,463980.0,6727603.93,0.359,61.08
TIMOR TENGAH UTARA,2017,2669.7,249711.0,3532401.9,0.359,62.03
BELU,2017,1284.97,213596.0,3784671.22,0.359,61.44
ALOR,2017,2864.6,202890.0,2594740.35,0.359,59.61
LEMBATA,2017,1266.0,137714.0,1586163.06,0.359,63.09
FLORES TIMUR,2017,1813.2,251611.0,4511123.61,0.359,62.89
SIKKA,2017,1731.9,317292.0,4326749.11,0.359,63.08
ENDE,2017,2046.5,272084.0,5266647.4,0.359,66.11
NGADA,2017,1645.88,159081.0,3014618.68,0.359,66.47
MANGGARAI,2017,2096.44,329198.0,3964645.6,0.359,62.24
ROTE NDAO,2017,1280.0,159614.0,2635282.43,0.359,60.51
MANGGARAI BARAT,2017,2397.03,263207.0,2896539.4,0.359,61.65
SUMBA TENGAH,2017,1868.74,70719.0,999011.85,0.359,59.39
SUMBA BARAT DAYA,2017,1480.46,331894.0,3198892.3,0.359,61.46
NAGEKEO,2017,1416.96,142804.0,1928589.99,0.359,64.74
MANGGARAI TIMUR,2017,2642.93,280118.0,2720529.18,0.359,58.51
SABU RAIJUA,2017,460.54,91512.0,1190444.51,0.359,55.22
