Kabupaten/Kota,2016,2017,2018,2019,2020,2021,2022
Kota Kediri,106396452.5,115650217.2,127716773.7,139244873.6,132406061.1,141467122.9,152791144.6
Kota Blitar,5331286.72,5782364.14,6301693,6791619.37,6708144.94,7113597.21,7833939.5
Kota Malang,57170601.59,62089303.68,67696347.84,72764205.45,72163188.51,76617344.92,84807432.08
Kota Probolinggo,8888112.97,9660035.06,10521393.65,11349178.22,11074503.33,11699903.01,12931380.88
Kota Pasuruan,6559009.28,7105188.52,7707010.78,8287819.46,8047228.39,8491125.83,9452824.46
Kota Mojokerto,5370366.43,5828234.68,6333225.96,6801696.59,6588057.71,6935632.33,7637024.08
Kota Madiun,11184109.38,12111900.47,13128893.64,14107339.9,13519884.86,14435427.95,15825612.53
Kota Surabaya,451383235.7,493026304.5,538845464.9,580488529,554509457.4,590227115.8,655616221.6
Kota Batu,12901676.73,14241465.52,15640890.16,16924991.2,15916798.76,16841143.98,18587601.95
Pandeglang,22139872.3,24182302.52,26183539.56,27931123.75,28371050.11,29843279.88,32025112.53
Lebak,22482282.68,24485545.31,26602743.2,28725281.3,29055011.56,30804314.86,33469202.33
Tangerang,109397781.9,118994083.8,129825980.8,140089287.6,135731681.9,145283676.5,160168176.8
Serang,60870172.49,65905439.09,71521738.86,76906395.06,75880724.65,80231264.41,87983132.91
Kota Tangerang,136182236.1,149005544.8,161359628.3,171732446.3,143022763.7,150139001.8,182210783.9
Kota Cilegon,81953574,88871488.8,96909883.4,103931063.6,102731768.6,110497918.3,120746796.6
Kota Serang,24054820.16,26452445.43,28980866.42,31602577.25,31666094.97,33503984.71,36723840.08
Kota Tangerang Selatan,61300797.1,67980904.38,75043782.35,82769481.67,82531471.53,88065801.67,96136882.58
Jembrana,11167668.32,12116480.97,13136607.05,14136696.15,13437613.88,13510634.96,14532255.74
Tabanan,18630249.73,20376580.82,22127882.05,23795932.13,22257584.9,22021142.15,23681297.92
Badung,47208168.58,52343653.65,57791252.39,62836113.71,49026027.29,44882080.18,55290000.16
Gianyar,22113248.92,24224219.01,26460397.14,28520276.65,25841721.14,25788227.04,27944205.76
